adm0_name,adm1_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Gambia,Banjul,26413,1,23903.765,1849,660,0,0,660
Gambia,Basse,209136,2,152669.28,43919,12548,0,0,12548
Gambia,Brikama,1143334,2,868933.84,240100,34300,0,0,34300
Gambia,Janjanbureh,155579,2,115128.46,31116,9335,0,0,9335
Gambia,Kanifing,467948,1,374358.4,70192,23397,0,0,23397
Gambia,Kerewan,209919,2,149042.49,48281,12595,0,0,12595
Gambia,Kuntaur,138258,2,88485.12,34565,13826,1382.58,0,15208
Gambia,Mansa Konko,105254,2,76835.42,21051,7368,0,0,7368
