adm0_name,adm1_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Gambia,Nbr,247262,1,222535.8,24726.2,0,0,0,0
Gambia,Crrn,106608,1,92748.96,13859.04,0,0,0,0
Gambia,Urr,269037,1,247514.04,21522.96,0,0,0,0
Gambia,Wcr,898979,2,674234.25,179795.8,44948.95,0,0,44948.95
Gambia,Lrr,85975,1,75658,10317,0,0,0,0
Gambia,Crrs,134765,1,117245.55,17519.45,0,0,0,0
