adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Senegal,Tambacounda,Bakel,184263,1,158466,18426,7371,0,0,7371,1,2,NA,NA,2.5,5.7,91.8,1,79.6,17.4,2.2,0.8,0,2,NA,NA,NA,NA,NA,NA,76.6,19.6,3.9,NA,2,62.6,36.3,1.1,2
Senegal,Tambacounda,Goudiry,152391,2,117341,33526,1524,0,0,1524,1,2,NA,NA,0.8,11.8,87.4,1,74.9,7,16.4,1.7,0,2,NA,NA,NA,NA,NA,NA,38.8,43.8,16.4,1,2,55.5,42.4,2.1,2
Senegal,Tambacounda,Koumpentoum,170418,1,148264,17042,5113,0,0,5113,1,1,NA,NA,2.3,10.8,86.9,1,70.1,23.2,5.5,1.2,0,2,NA,NA,NA,NA,NA,NA,43.7,53.9,2.4,0,2,38.1,57.3,4.6,2
Senegal,Tambacounda,Tambacounda,396960,1,349325,39696,7939,0,0,7939,1,2,NA,NA,2.1,3.1,94.8,1,83.9,10.4,4.7,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,41.2,1.9,2
Senegal,Thies,Mbour,830495,1,739141,83050,8305,0,0,8305,1,1,NA,NA,0,7.4,92.6,1,91.8,4.9,3.3,0,0,1,NA,NA,NA,NA,NA,NA,84.3,15.7,NA,NA,1,57.4,41,1.6,2
Senegal,Thies,Thies,829174,1,729673,91209,8292,0,0,8292,1,2,NA,NA,0,0.9,99.1,1,95.5,2.7,1.8,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,49.2,0.9,2
Senegal,Thies,Tivaouane,356499,1,324414,32085,0,0,0,0,1,2,NA,NA,0.8,4.2,95,1,80.8,15,3.3,0,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,73.4,2.5,2
Senegal,Ziguinchor,Bignona,324943,1,289199,32494,3249,0,0,3249,1,2,NA,NA,0,12.5,87.5,1,86.4,13.5,0.1,0,0,1,NA,NA,NA,NA,NA,NA,25.2,59.1,15.7,0,2,34,65.9,0.1,2
Senegal,Ziguinchor,Oussouye,62185,1,55967,5597,622,0,0,622,1,2,NA,NA,0,10.6,89.4,1,94.7,3.2,2.1,0,0,1,NA,NA,NA,NA,NA,NA,6.5,74.2,15.9,3.4,2,70.1,29.9,0,2
Senegal,Ziguinchor,Ziguinchor,561428,1,505285,56143,0,0,0,0,1,2,NA,NA,0,0.3,99.7,1,99.4,0.4,0.2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,79,0,2
