adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Senegal,Louga,Louga,478844,1,416594.28,57461.28,4788.44,0,0,4788.44,1,2,NA,NA,2,2.1,95.9,1,81.4,16.6,2,0,0,1,94.9,1,2.1,2,0,1,39.5,43.9,9.4,7.2,2,95.9,3.2,0.9,1
Senegal,Matam,Kanel,334753,2,204199.33,103773.43,26780.24,0,0,26780.24,2,2,2,NA,6.6,12.8,80.6,2,89.4,10.6,0,0,0,1,44.6,33.5,21.9,0,0,3,30.2,55.5,8.9,5.5,2,71.5,22.5,6.1,2
Senegal,Matam,Matam,117879,2,77800.14,33006.12,7072.74,0,0,7072.74,2,2,2,NA,12,14.5,73.5,2,90.9,9.1,0,0,0,1,36.4,47.4,16.1,0,0,2,25.6,59.3,5.8,9.3,2,58,36.8,5.2,2
Senegal,Matam,Ranerou,71990,2,43194,22316.9,6479.1,0,0,6479.1,2,2,2,NA,39.5,14.6,45.8,4,93,7,0,0,0,1,25.6,54.4,20,0,0,3,24.1,65.7,5,5.2,2,50,43.3,6.7,2
Senegal,Saint Louis,Dagana,305811,1,253823.13,45871.65,6116.22,0,0,6116.22,1,2,1,NA,4,11,85.1,1,81.1,18.9,0,0,0,1,59.3,35.2,5.5,0,0,2,27,62.6,7.9,2.5,2,41.9,52.1,6,2
Senegal,Saint Louis,Podor,469102,2,328371.4,126657.54,14073.06,0,0,14073.06,2,2,1,NA,12.2,7.8,80.1,2,90.8,9.2,0,0,0,1,62.4,37.6,0,0,0,2,25,64.1,10,0.9,2,53.4,42,4.6,2
Senegal,Saint Louis,Saint Louis,375149,1,326379.63,45017.88,3751.49,0,0,3751.49,1,2,1,NA,1.3,5.9,92.8,1,84.9,15.1,0,0,0,1,72.1,26.4,1.5,0,0,2,26.3,66.6,6.5,0.7,2,52.6,47.4,0,2
Senegal,Sedhiou,Bounkiling,196873,1,171279.51,23624.76,1968.73,0,0,1968.73,1,2,1,NA,10.9,14.9,74.2,2,87,6.1,6.8,0,0,1,86,8.7,5.3,0,0,1,47.1,48.6,3.1,1.2,2,49.8,39.6,10.6,2
Senegal,Sedhiou,Goudomp,211110,1,187887.9,23222.1,0,0,0,0,1,1,2,NA,8.8,12.3,78.9,2,83.6,15.3,1,0,0,1,88.5,5.7,5.8,0,0,1,51.2,45,2.4,1.4,2,53.7,35.8,10.6,2
Senegal,Sedhiou,Sedhiou,204667,1,173966.95,30700.05,0,0,0,0,1,1,2,NA,10.1,22,67.9,3,80.8,12.5,6.7,0,0,1,50.3,30.2,18.4,1.1,0,2,36,61.8,1.1,1.1,2,43.5,46.2,10.3,2
