adm0_name,adm1_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Guinea-Bissau,Bolama,35574,1,30238,3557,1779,0,0,1779
Guinea-Bissau,Quinara,68884,1,65440,3444,0,0,0,0
Guinea-Bissau,Oio,241829,1,217646,24183,0,0,0,0
Guinea-Bissau,Bafata,225680,1,191828,29338,4514,0,0,4514
Guinea-Bissau,Gabu,241348,1,217213,21721,2413,0,0,2413
Guinea-Bissau,Biombo,106694,1,90690,13870,2134,0,0,2134
Guinea-Bissau,Cacheu,204846,1,174119,28678,2048,0,0,2048
Guinea-Bissau,Tombali,101131,1,90007,10113,1011,0,0,1011
