adm0_name,adm1_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Guinea-Bissau,Biombo,104092,1,84314.52,19777.48,0,0,0,0
Guinea-Bissau,Cacheu,202217,2,145596.24,52576.42,4044.34,0,0,4044.34
Guinea-Bissau,Tombali,99734,2,75797.84,23936.16,0,0,0,0
Guinea-Bissau,Oio,237553,2,178164.75,47510.6,11877.65,0,0,11877.65
Guinea-Bissau,Quinara,67463,1,57343.55,6746.3,3373.15,0,0,3373.15
Guinea-Bissau,Bolama,34873,1,29642.05,4533.49,697.46,0,0,697.46
Guinea-Bissau,Bafata,221689,1,186218.76,33253.35,2216.89,0,0,2216.89
Guinea-Bissau,Gabu,233638,1,193919.54,39718.46,0,0,0,0
