adm0_name,adm1_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Guinea-Bissau,Bolama,35574,1,33795.3,1778.7,0,0,0,0
Guinea-Bissau,Quinara,68884,1,59929.08,8954.92,0,0,0,0
Guinea-Bissau,Oio,241829,1,205554.65,31437.77,4836.58,0,0,4836.58
Guinea-Bissau,Cacheu,204846,1,180264.48,22533.06,2048.46,0,0,2048.46
Guinea-Bissau,Biombo,106694,1,96024.6,10669.4,0,0,0,0
Guinea-Bissau,Tombali,101131,1,91017.9,10113.1,0,0,0,0
Guinea-Bissau,Bafata,225680,1,191828,31595.2,2256.8,0,0,2256.8
Guinea-Bissau,Gabu,241348,1,200318.84,38615.68,2413.48,0,0,2413.48
