adm0_name,adm1_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35
Guinea-Bissau,Bafata,233877,2,166053,51453,16371,0,0,16371
Guinea-Bissau,Biombo,112095,2,69499,39233,3363,0,0,3363
Guinea-Bissau,Bolama,36289,3,15604,11612,8346,726,0,9072
Guinea-Bissau,Cacheu,210207,1,172370,35735,2102,0,0,2102
Guinea-Bissau,Gabu,257540,2,133921,97865,25754,0,0,25754
Guinea-Bissau,Oio,250613,2,160392,70172,20049,0,0,20049
Guinea-Bissau,Quinara,71808,2,50266,17952,3590,0,0,3590
Guinea-Bissau,Tombali,103982,2,39513,48872,14557,1040,0,15597
