adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Mali,Koulikoro,Dioila,730186,1,671770.8345,58414.85517,0,0,0,0,1,1,1,NA,25.8,43.4,30.8,4,78.9,12.6,8.6,0,0,2,100,0,0,0,0,1,91.4,6.2,1.5,0.8,1,96.2,2.9,0.9,1
Mali,Koulikoro,Kangaba,149936,1,134942.2616,14993.58463,0,0,0,0,1,1,2,NA,24.4,10.7,64.9,4,84.5,9.3,4,2.2,0,1,100,0,0,0,0,1,98.6,0.5,0.9,0,1,98.8,0.3,0.8,1
Mali,Koulikoro,Kati,1428829,1,1243081.202,171459.4762,14288.28968,0,0,14288.28968,1,1,1,NA,3.7,12.2,84,1,93.5,5.1,1.4,0,0,1,97.5,0.8,1.7,0,0,1,86.2,5.3,7.6,0.8,1,88.7,9.6,1.7,1
Mali,Koulikoro,Kolokani,347219,1,298608.2637,38194.08024,10416.56734,0,0,10416.56734,1,1,3,NA,36.2,46.9,16.9,4,46.3,31.5,16.6,4.8,0.8,3,97.8,1.7,0.5,0,0,1,86.1,8.8,4.6,0.6,1,95.2,3.5,1.3,1
Mali,Koulikoro,Koulikoro,314530,1,270495.4195,40888.84248,3145.295576,0,0,3145.295576,1,1,2,NA,1.9,5.2,92.9,1,87,9.5,3.6,0,0,1,96.5,1.6,1.9,0,0,1,93.7,2.9,1.6,1.9,1,82,17.6,0.4,1
Mali,Koulikoro,Nara,361263,1,303460.9056,43351.55795,14450.51932,0,0,14450.51932,1,1,3,NA,5.3,15.3,79.3,2,94.6,5.4,0,0,0,1,98.2,1.4,0.4,0,0,1,87.3,3.7,2,7,1,92.8,6.7,0.5,1
Mali,Mopti,Bandiagara,468120,3,163842,187248,117030,0,0,117030,3,3,2,NA,53.3,9.3,37.4,4,43.4,7.2,16.9,30.5,2,4,95.3,4.2,0.5,0,0,1,53,12.9,18.5,15.7,3,58.5,38.7,2.8,2
Mali,Mopti,Bankass,395420,2,177939,150259.6,67221.4,0,0,67221.4,2,3,2,NA,5.5,44.6,49.9,2,62.3,22.6,7.4,6,1.8,2,75.8,7.1,17.1,0,0,2,77.6,10.1,2.4,9.9,2,94.8,5.2,0,1
Mali,Mopti,Djenne,311247,2,183635.73,84036.69,43574.58,0,0,43574.58,2,2,2,NA,10.5,13.7,75.8,2,90,8.2,1.4,0.4,0,1,94.5,3.4,2.2,0,0,1,73,14.3,7.4,5.3,2,87.3,10.3,2.3,1
Mali,Mopti,Douentza,368313,3,81028.86,139958.94,110493.9,36831.3,0,147325.2,2,4,3,NA,5.8,38.2,56.1,2,97.2,1.6,1.3,0,0,1,24.2,0.6,10.3,28,36.8,5,21.6,8.8,9.7,59.9,4,26.1,58.1,15.8,2
Mali,Mopti,Koro_accessible_nov2021,541493,3,189522.55,205767.34,146203.11,0,0,146203.11,3,3,3,NA,36.1,50,13.9,4,84.6,8.1,7.4,0,0,1,90.5,9.5,0,0,0,1,64.2,10,15.9,9.9,3,76.4,23.4,0.2,2
Mali,Mopti,Mopti,550928,1,473798.08,60602.08,16527.84,0,0,16527.84,1,1,2,NA,0.7,9.5,89.8,1,98.6,1.2,0.2,0,0,1,94.3,4.5,0.9,0.4,0,1,96.4,1.5,1.8,0.4,1,89.8,9.9,0.4,1
Mali,Mopti,Tenenkou,243313,2,187351.01,43796.34,12165.65,0,0,12165.65,1,2,3,NA,9.8,24.3,65.8,2,87.6,4.6,4.1,3,0.7,1,97,3,0,0,0,1,51.7,42.1,2.5,3.6,2,58.1,41.4,0.4,2
Mali,Mopti,Youwarou,162070,1,134518.1,21069.1,6482.8,0,0,6482.8,1,1,2,NA,20.3,7.8,71.8,4,66.7,18.2,10.9,3,1.2,2,99.4,0.5,0.1,0,0,1,94.3,2.6,2.7,0.4,1,97.3,2.7,0,1
Mali,Segou,Baroueli,302963,1,251459.3406,48474.08975,3029.630609,0,0,3029.630609,1,1,3,NA,0.3,3.9,95.8,1,99.1,0.9,0,0,0,1,98.3,1.7,0,0,0,1,71.3,26.5,0.8,1.4,2,98.1,1.9,0,1
Mali,Segou,Bla,423649,1,355865.0654,59310.84424,8472.977748,0,0,8472.977748,1,1,2,NA,9,24.9,66.2,2,97.9,0.9,1.2,0,0,1,100,0,0,0,0,1,81,18.3,0.7,0,1,100,0,0,1
Mali,Segou,Macina,352561,1,296151.24,56409.76,0,0,0,0,1,1,2,NA,2,1.1,96.9,1,99,0.7,0,0,0.3,1,98.4,1.6,0,0,0,1,96.4,0.7,1.5,1.4,1,97.4,2.4,0.2,1
Mali,Segou,Niono,544904,3,228859.68,190716.4,119878.88,5449.04,0,125327.92,2,3,3,NA,10.2,32.2,57.7,3,86.3,12,1.4,0.4,0,1,80.4,16.5,3.1,0,0,1,31.6,48.1,19.4,0.9,3,64.6,33.8,1.7,2
Mali,Segou,San,498223,1,448400.7,39857.84,9964.46,0,0,9964.46,1,1,2,NA,3.5,18.9,77.6,1,98.2,1.8,0,0,0,1,98.2,0,0.5,0.8,0.5,1,95.2,3.4,1,0.4,1,97.1,2.2,0.6,1
