adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Niger,Tillaberi,Abala,209482,3,94267,62845,48181,4190,0,52371,3,4,2,3,85.4,10.6,4.1,4,27.1,8.3,10.4,25,29.2,5,61.2,0,29.8,5.6,3.4,3,62.9,7.9,2.8,26.4,4,55.1,43.8,1.1,2
Niger,Tillaberi,Ayerou,82799,3,14904,45539,20700,1656,0,22356,3,2,2,3,41.2,32.4,26.5,4,65.2,31.4,1.5,1.5,0.5,2,72.6,13.7,13.7,0,0,2,89.2,7.3,2.5,1,1,77.4,21.6,1,2
Niger,Tillaberi,Balleyara,155542,2,79326,55995,20220,0,0,20220,3,2,2,3,26.2,43,30.8,4,59.9,15,15.1,8.3,1.8,3,42.5,8.4,49.1,0,0,3,72,21.2,0.5,6.3,2,47.8,49.5,2.7,2
Niger,Tillaberi,Banibangou,97199,3,32076,35964,24300,4860,0,29160,3,2,2,3,94.2,2.3,3.5,4,8.1,37.9,20.7,19.5,13.8,4,97.7,1.1,1.1,0,0,1,92,5.8,0,2.3,1,69,31,0,2
Niger,Tillaberi,Bankilare,123251,3,57928,35743,25883,3698,0,29580,3,3,2,3,23.8,44,32.1,4,44,27.4,25,3.6,0,3,100,0,0,0,0,1,63.1,20.2,0,16.7,2,89.3,10.7,0,1
Niger,Tillaberi,Filingue,445318,2,236019,133595,75704,0,0,75704,3,2,2,3,32.2,35.2,32.7,4,65.6,13.4,12.1,8.2,0.8,3,47.1,10.9,42,0,0,3,57.5,26.6,3.3,12.6,2,35.4,54,10.6,2
Niger,Tillaberi,Gotheye,349957,3,167979,104987,76990,0,0,76990,3,3,2,3,17.6,36.7,45.7,3,50.1,26.2,15.8,5.6,2.3,3,69.8,9.5,19.8,1,0,3,25.8,41.8,27.4,5.1,3,54,36.8,9.2,2
Niger,Tillaberi,Kollo,675686,2,337843,250004,87839,0,0,87839,2,2,2,3,25.4,25.4,49.2,4,48.4,22.4,16.9,7.6,4.8,3,27.3,12.8,56.2,1.5,2.3,3,35.4,20.8,27.3,16.5,3,45,41,14,2
Niger,Tillaberi,Ouallam_accessible_nov2021,293916,3,67601,108749,105810,11757,0,117566,3,4,3,3,34.7,52.3,13,4,56.1,22.4,10.1,7.1,4.4,3,28.4,19.3,48.9,2.7,0.7,3,20.4,21.3,33.5,24.8,4,13.9,57.5,28.7,3
Niger,Tillaberi,Ouallam_inaccessible_nov2021,181162,3,30798,63407,68842,18116,0,86958,3,3,3,3,81.5,13.2,5.3,4,18.5,31.1,31.8,15.9,2.6,3,96.7,1.3,2,0,0,1,67.6,26.5,0,6,2,86.1,13.9,0,1
Niger,Tillaberi,Say,254980,2,150438,66295,38247,0,0,38247,2,3,2,3,25.3,18,56.7,4,47.3,23.2,21.1,5.8,2.6,3,23.7,15.9,59.8,0.6,0,3,36.5,21.6,17.1,24.8,4,42.8,49.1,8.1,2
Niger,Tillaberi,Tera_accessible_nov2021,370632,2,203847,111189,55595,0,0,55595,2,2,2,3,9,27.2,63.8,2,48.1,33.1,12.8,6,0,2,73.1,9.4,17.5,0,0,2,34.5,36.4,25.6,3.6,3,50.5,44.2,5.2,2
Niger,Tillaberi,Tera_inaccessible_nov2021,117488,3,46995,35246,29372,5874,0,35246,2,2,3,3,58.2,23.4,18.4,4,44.7,14.9,18.4,13.5,8.5,4,90.1,8.5,1.4,0,0,1,74.5,12.8,8.5,4.3,2,53.2,46.8,0,2
Niger,Tillaberi,Tillaberi_inaccessible_nov2021,25156,3,8553,8301,6289,2012,0,8301,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,Tillaberi,Tillaberi_accessible_nov2021,260858,3,117386,78258,57389,7826,0,65215,3,3,2,3,24,60.6,15.5,4,60.2,19.1,14.6,4.7,1.5,3,24.8,17,58.2,0,0,3,28.7,28.5,24.5,18.2,3,21.9,67.5,10.7,2
Niger,Tillaberi,Torodi,265125,3,79538,92794,79538,13256,0,92794,3,3,3,3,39.4,6.3,54.2,4,69.7,12.7,12,4.9,0.7,2,73.2,22.5,4.2,0,0,2,28.2,50,21.1,0.7,3,12.7,86.6,0.7,2
