adm0_name,adm1_name,adm2_name,population,phase_class,phase1,phase2,phase3,phase4,phase5,phase35,foodconsumption_phase,livelihoods_phase,nutrition_phase,mortality_phase,FCG_Poor,FCG_Borderline,FCG_Acceptable,FCG_finalphase,HDDS_Phase1,HDDS_Phase2,HDDS_Phase3,HDDS_Phase4,HDDS_Phase5,HDDS_finalphase,HHS_Phase1,HHS_Phase2,HHS_Phase3,HHS_Phase4,HHS_Phase5,HHS_finalphase,LhHCSCat_NoStrategies,LhHCSCat_StressStrategies,LhHCSCat_CrisisStategies,LhHCSCat_EmergencyStrategies,LhHCSCat_finalphase,rCSI_Phase1,rCSI_Phase2,rCSI_Phase3,rCSI_finalphase
Ghana,Upper West,Nadowli-Kaleo,79288,2,55501.6,15857.6,7928.8,0,0,7928.8,2,3,NA,NA,0,6,94,1,80,16,4,0,0,2,68,6,26,0,0,3,58,6,2,34,4,66,34,0,2
Ghana,Upper West,Nandom,59322,1,50423.7,5932.2,2966.1,0,0,2966.1,1,1,NA,NA,0,14,86,1,78,8,12,2,0,2,90,0,10,0,0,1,100,0,0,0,1,96,4,0,1
Ghana,Upper West,Sissala East,72839,2,49530.52,16024.58,7283.9,0,0,7283.9,2,2,NA,NA,4,58,38,1,34,36,26,2,2,3,98,2,0,0,0,1,44,46,4,6,2,0,100,0,2
Ghana,Upper West,Sissala West,63879,1,51741.99,7665.48,4471.53,0,0,4471.53,1,2,NA,NA,0,0,100,1,94.2,3.8,1.9,0,0,1,75,17.3,7.7,0,0,2,21.2,51.9,15.4,11.5,3,48.1,51.9,0,2
Ghana,Upper West,Wa East,92913,2,72472.14,14866.08,5574.78,0,0,5574.78,2,1,NA,NA,6,18,76,2,88,10,2,0,0,1,84,8,8,0,0,1,84,2,6,8,1,78,22,0,2
Ghana,Upper West,Wa West,104841,2,65001.42,24113.43,13629.33,2096.82,0,15726.15,2,3,NA,NA,8,54,38,2,56,20,18,4,2,3,30,16,52,2,0,3,16,10,10,64,4,24,72,4,2
Ghana,Volta,Akatsi North,32440,1,29844.8,1946.4,648.8,0,0,648.8,1,1,NA,NA,6,20,74,2,94,6,0,0,0,1,90,6,4,0,0,1,76,14,2,8,2,88,12,0,1
Ghana,Volta,Ketu South,175299,1,166534.05,8764.95,0,0,0,0,1,1,NA,NA,0,0,100,1,100,0,0,0,0,1,100,0,0,0,0,1,98,2,0,0,1,100,0,0,1
Ghana,Western North,Juaboso,72358,2,55715.66,10853.7,5788.64,0,0,5788.64,2,1,NA,NA,0,4,96,1,72,16,8,2,2,2,22,8,64,6,0,3,82,6,8,4,1,74,22,4,2
Ghana,Western North,Suaman,25402,1,21845.72,3048.24,508.04,0,0,508.04,1,1,NA,NA,2,8,90,1,90,6,4,0,0,1,90,2,6,2,0,1,72,14,6,8,2,16,84,0,2
Ghana,Western,Mpohor,53044,2,32887.28,10608.8,8487.04,1060.88,0,9547.92,2,3,NA,NA,0,8,92,1,72,20,8,0,0,2,42,12,34,10,2,3,12,6,40,42,4,18,22,60,3
Ghana,Western,Wassa East,100182,2,70127.4,22040.04,8014.56,0,0,8014.56,1,3,NA,NA,2,10,88,1,82,16,2,0,0,1,68,10,20,2,0,3,58,8,12,22,4,56,38,6,2
